id,customer_id,name,gender,company,department,phone,mobile,wechat,qq,email,address,position,title,decision_role,influence_scope,priority,relationship_strength,birthday,native_place,party_member,university,major,hobbies,lifestyle,family_info,attitude,preferred_contact_method,prev_position,prev_department,position_changed_date,honors,status,tags,note,created_at
5591c679-281f-48cb-b348-bc7ef496c175,95cea1e3-545c-4d71-aad6-5f12dc010321,陈国栋,male,国家电网有限公司,技术部,017-38754377,13882374753,wx_陈国栋,,00@sgcc.com.cn,,总经理,总经理,final,采购决策,1,deep,,,no,西安交通大学,信息管理,,,,neutral,wechat,,,,,active,电力行业,,2019-04-07
cc9819eb-4493-4700-ac1a-90b18d2bf20e,cbe8801a-93b5-44f9-8ce7-9b9998fe8a00,李晓梅,female,南方电网有限责任公司,信息化部,016-57553014,13866851760,wx_李晓梅,,01@csg.com.cn,,信息化总监,信息化总监,tech,技术规范制定,2,familiar,,,yes,华北电力大学,电气工程,,,,neutral,email,,,,,active,电力行业,,2019-12-14
48e5f6d6-8f3f-438b-a601-27f5b8242e63,23737dec-9bce-472c-b1c0-a3027d979391,王志强,male,中国华能集团有限公司,信息化部,013-35714784,13835529407,wx_王志强,,02@huaneng.com.cn,,采购部经理,采购部经理,purchase,采购执行,3,familiar,,,yes,清华大学,计算机科学,,,,neutral,phone,,,,,active,电力行业,,2019-09-13
290bd182-936f-432f-b3eb-075ec136676f,016654bb-e840-4b81-a79d-3f019d698561,张丽华,female,中国大唐集团有限公司,信息化部,017-83863413,13823141087,wx_张丽华,,03@datang.com.cn,,法务总监,法务总监,influencer,政策把关,1,deep,,,yes,华北电力大学,计算机科学,,,,supportive,phone,,,,,active,电力行业,,2020-05-12
2d6fe5bf-60c0-4ea1-89ed-c3f7d9951bd6,ec23e3db-5f4f-4b44-977f-723d464e743c,刘建军,male,中国华电集团有限公司,办公室,013-63826716,13817869910,wx_刘建军,,04@huadian.com.cn,,副总经理,副总经理,final,项目立项审批,1,familiar,,,yes,清华大学,软件工程,,,,neutral,phone,,,,,active,电力行业,,2020-03-09
14a1a627-09b3-46ad-9132-c87c32bf306e,a6511b8c-c335-4af4-bbe6-65916bb7db78,赵雪梅,female,国网河北省电力有限公司,财务部,017-30776478,13835487660,wx_赵雪梅,,05@hebeiep.com.cn,,技术部主任,技术部主任,tech,方案评审,2,acquaintance,,,yes,上海交通大学,电气工程,,,,supportive,phone,,,,,active,电力行业,,2019-02-28
c494234b-817e-4339-ab5d-7e1030156056,9ca36a6e-b68b-4f55-9f43-d5e69fd721af,孙大明,male,国网山东省电力公司,信息化部,019-73993471,13877491435,wx_孙大明,,06@shandongep.com.cn,,合同管理部长,合同管理部长,purchase,合同执行,3,acquaintance,,,yes,上海交通大学,电气工程,,,,supportive,wechat,,,,,active,电力行业,,2020-09-01
a44ec5d9-d7d5-44f6-8450-e441715e9119,2a2d66ee-0003-4d79-88bf-e52c16e77e74,周小燕,female,国网江苏省电力有限公司,信息化部,013-64193837,13826090908,wx_周小燕,,07@jiangsuep.com.cn,,办公室主任,办公室主任,gatekeeper,信息筛选,3,acquaintance,,,yes,上海交通大学,电气工程,,,,neutral,email,,,,,active,电力行业,,2020-08-20
025c67f7-efb0-49bb-9a9f-88d547073c1c,a555016d-a66b-4aae-ac9b-b26afb1880ac,吴国庆,male,南方电网广东电网有限责任公司,财务部,018-52462441,13844999379,wx_吴国庆,,08@guangdongep.com.cn,,运维部主任,运维部主任,tech,系统验收,1,deep,,,no,西安交通大学,软件工程,,,,neutral,wechat,,,,,active,电力行业,,2020-11-18
5650e2a2-595f-4c0b-9720-31a77af8aa51,0ef9f4cf-ab13-4bb0-a5ef-b3c7e2c13208,郑美云,female,国网四川省电力公司,技术部,017-52436584,13819736572,wx_郑美云,,09@sichuanep.com.cn,,对外合作部长,对外合作部长,influencer,关系协调,1,familiar,,,yes,华北电力大学,计算机科学,,,,supportive,phone,,,,,active,电力行业,,2019-05-16
9827dc13-52bb-4726-a75f-755e2d252430,95cea1e3-545c-4d71-aad6-5f12dc010321,徐建国,male,国家电网有限公司,技术部,011-42787299,13859597086,wx_徐建国,,10@sgcc.com.cn,,财务总监,财务总监,final,预算审批,2,acquaintance,,,no,上海交通大学,软件工程,,,,supportive,email,,,,,active,电力行业,,2020-06-25
13592dda-c67b-4847-9914-44cd37bea8f4,cbe8801a-93b5-44f9-8ce7-9b9998fe8a00,何秀兰,female,南方电网有限责任公司,信息化部,018-50181935,13899038526,wx_何秀兰,,11@csg.com.cn,,调度中心主任,调度中心主任,tech,需求提出,1,acquaintance,,,no,华北电力大学,电气工程,,,,supportive,email,,,,,active,电力行业,,2019-06-09
2a147457-8f59-4dc8-8cb9-f189f691727d,23737dec-9bce-472c-b1c0-a3027d979391,林志远,male,中国华能集团有限公司,技术部,014-91178885,13838270233,wx_林志远,,12@huaneng.com.cn,,物资部经理,物资部经理,purchase,物资管控,3,familiar,,,yes,浙江大学,信息管理,,,,neutral,wechat,,,,,active,电力行业,,2019-04-05
66a36d39-eef8-4bae-8e7c-e6bb5b5c2512,016654bb-e840-4b81-a79d-3f019d698561,郭丽英,female,中国大唐集团有限公司,办公室,014-15917225,13810475894,wx_郭丽英,,13@datang.com.cn,,战略合作部长,战略合作部长,influencer,行业资源,2,acquaintance,,,no,西安交通大学,信息管理,,,,supportive,email,,,,,active,电力行业,,2020-03-13
